character,unicode_category,total_frequency_all_time
제,Lo,3506764
ィ,Lo,3501966
Ν,Lu,3499712
도,Lo,3495828
ɔ,Ll,3494996
💰,So,3490018
👏,So,3468901
コ,Lo,3459162
정,Lo,3452639
➢,So,3441280
安,Lo,3427926
∗,Sm,3418792
☀,So,3399011
语,Lo,3384852
手,Lo,3383727
✕,So,3382659
ู,Mn,3380860
∆,Sm,3375258
ň,Ll,3374964
特,Lo,3370615
情,Lo,3368317
テ,Lo,3367994
ˌ,Lm,3365580
ἰ,Ll,3359644
北,Lo,3356929
ত,Lo,3355585
요,Lo,3352530
স,Lo,3348251
ল,Lo,3342494
ు,Mc,3324497
會,Lo,3321949
☑,So,3320003
バ,Lo,3312172
為,Lo,3310997
ன,Lo,3310741
グ,Lo,3299694
ʊ,Ll,3294290
फ,Lo,3290414
Û,Lu,3288937
ὴ,Ll,3283031
或,Lo,3270917
ۡ,Mn,3270816
正,Lo,3270061
வ,Lo,3268261
入,Lo,3258185
』,Pe,3255280
程,Lo,3248070
일,Lo,3241735
₤,Sc,3230832
期,Lo,3230416
与,Lo,3228722
目,Lo,3222099
度,Lo,3220606
↵,So,3215482
ட,Lo,3206444
西,Lo,3199903
💪,So,3188065
🏽,Sk,3183191
🇸,So,3181712
주,Lo,3178097
动,Lo,3174272
ῆ,Ll,3172129
✦,So,3162257
ј,Ll,3162036
Ÿ,Lu,3160181
ి,Mn,3157457
ụ,Ll,3154601
😎,So,3152964
『,Ps,3150779
오,Lo,3147201
⚠,So,3138879
版,Lo,3135307
ồ,Ll,3129442
果,Lo,3128112
神,Lo,3120646
音,Lo,3116862
Ù,Lu,3111979
ֲ,Mn,3097506
ウ,Lo,3096342
ự,Ll,3090800
ম,Lo,3079543
Η,Lu,3075056
ǎ,Ll,3058953
ᥙ,Lo,3052265
ṅ,Ll,3049017
장,Lo,3042118
나,Lo,3041679
相,Lo,3035625
等,Lo,3028086
世,Lo,3027937
ல,Lo,3021764
开,Lo,3019914
业,Lo,3017112
利,Lo,3016904
ः,Mc,3014906
▸,So,3009661
里,Lo,3003590
ム,Lo,3001925
女,Lo,2999127
看,Lo,2995472
구,Lo,2992636
オ,Lo,2989078
ņ,Ll,2987699
よ,Lo,2986872
过,Lo,2984482
二,Lo,2978323
😭,So,2978184
重,Lo,2974917
ŏ,Ll,2972034
ई,Lo,2967992
很,Lo,2963796
キ,Lo,2959518
ὲ,Ll,2959102
路,Lo,2956075
Ь,Lu,2939823
ブ,Lo,2934691
ื,Mn,2931578
🤔,So,2930942
ა,Ll,2924683
ช,Lo,2917667
있,Lo,2917151
প,Lo,2901996
➜,So,2901377
解,Lo,2892519
안,Lo,2891514
ా,Mn,2886341
件,Lo,2884854
ŋ,Ll,2878256
民,Lo,2871936
바,Lo,2867380
メ,Lo,2864913
Ě,Lu,2857412
💖,So,2852271
個,Lo,2846370
್,Mn,2846246
位,Lo,2844431
Ï,Lu,2843928
后,Lo,2837047
Œ,Lu,2836395
드,Lo,2826406
Ď,Lu,2825951
活,Lo,2815793
ٌ,Mn,2813773
间,Lo,2811540
Ц,Lu,2805914
ʃ,Ll,2805681
系,Lo,2800223
̋,Mn,2794524
ħ,Ll,2788219
知,Lo,2781999
͏,Mn,2769016
비,Lo,2767047
サ,Lo,2764136
औ,Lo,2763725
ở,Ll,2754334
소,Lo,2751684
‣,Po,2749350
因,Lo,2738352
ち,Lo,2735377
然,Lo,2732920
Ƅ,Lu,2729705
常,Lo,2728265
Ë,Lu,2723662
̓,Mn,2723050
點,Lo,2721025
京,Lo,2716787
想,Lo,2714907
去,Lo,2709228
ʾ,Lm,2699319
内,Lo,2690501
王,Lo,2685226
科,Lo,2682021
ర,Lo,2680841
比,Lo,2680546
Ò,Lu,2674602
Ш,Lu,2673496
來,Lo,2668992
电,Lo,2662716
습,Lo,2656246
ắ,Ll,2655527
デ,Lo,2651079
ใ,Lo,2649044
机,Lo,2637134
ү,Ll,2636091
现,Lo,2626353
研,Lo,2626093
关,Lo,2624043
经,Lo,2617551
ი,Ll,2613783
є,Ll,2610696
間,Lo,2609239
Θ,Lu,2607549
動,Lo,2604456
だ,Lo,2603816
💜,So,2603002
無,Lo,2591379
南,Lo,2584898
ứ,Ll,2579699
真,Lo,2577611
チ,Lo,2572845
由,Lo,2571165
保,Lo,2566495
💥,So,2562049
ュ,Lo,2560912
制,Lo,2558403
ễ,Ll,2558326
花,Lo,2556604
ய,Lo,2555350
게,Lo,2543410
影,Lo,2541357
原,Lo,2539802
≠,Sm,2539201
点,Lo,2536512
⇓,So,2532779
🎁,So,2527752
题,Lo,2526764
店,Lo,2524497
立,Lo,2511419
💙,So,2509367
展,Lo,2507982
용,Lo,2506237
ٰ,Mn,2503955
터,Lo,2501235
つ,Lo,2500022
ٍ,Mn,2497842
商,Lo,2496989
元,Lo,2496419
集,Lo,2495809
回,Lo,2488528
些,Lo,2481486
ナ,Lo,2479592
ા,Mc,2478617
十,Lo,2472310
数,Lo,2469741
ữ,Ll,2465676
🏆,So,2464514
ἔ,Ll,2464386
ᴡ,Ll,2463969
성,Lo,2460875
区,Lo,2457898
∠,Sm,2448306
み,Lo,2447081
چ,Lo,2442675
॥,Po,2440653
ặ,Ll,2439961
們,Lo,2439013
계,Lo,2436305
限,Lo,2429008
ํ,Mn,2425160
起,Lo,2423697
ャ,Lo,2420676
供,Lo,2419803
服,Lo,2415123
色,Lo,2413374
次,Lo,2406585
්,Mn,2405519
但,Lo,2404250
❖,So,2402337
Ρ,Lu,2395262
技,Lo,2392034
说,Lo,2389287
중,Lo,2378399
け,Lo,2375056
원,Lo,2373447
士,Lo,2367844
言,Lo,2362945
ை,Mc,2358649
ニ,Lo,2357548
空,Lo,2357411
그,Lo,2354299
究,Lo,2351389
此,Lo,2345820
📝,So,2345129
這,Lo,2344280
ृ,Mn,2343573
料,Lo,2341113
基,Lo,2340163
‖,Po,2334619
ʹ,Lm,2333612
ミ,Lo,2329121
✿,So,2327166
光,Lo,2325373
エ,Lo,2325137
ὁ,Ll,2325048
感,Lo,2316723
量,Lo,2313264
乐,Lo,2310985
何,Lo,2308586
号,Lo,2305229
接,Lo,2303593
포,Lo,2302871
後,Lo,2301857
░,So,2298288
న,Lo,2296220
ų,Ll,2294474
ల,Lo,2293352
👌,So,2293073
香,Lo,2288467
城,Lo,2281495
Β,Lu,2281246
✈,So,2280057
상,Lo,2279600
☞,So,2275531
👀,So,2272967
ԁ,Ll,2267745
客,Lo,2263465
🏾,Sk,2259358
✍,So,2258753
😘,So,2256147
과,Lo,2253831
ச,Lo,2251240
ў,Ll,2246999
界,Lo,2245906
酒,Lo,2242113
ѡ,Ll,2241750
ダ,Lo,2240113
부,Lo,2238080
무,Lo,2233692
ԝ,Ll,2233457
먹,Lo,2229566
세,Lo,2229521
으,Lo,2227975
包,Lo,2225175
任,Lo,2224549
־,Pd,2217322
那,Lo,2211723
字,Lo,2210581
̅,Mn,2208592
여,Lo,2206556
신,Lo,2198924
ਾ,Mc,2197556
太,Lo,2192718
交,Lo,2186727
ツ,Lo,2181550
우,Lo,2180449
📍,So,2179010
斯,Lo,2172228
與,Lo,2170750
示,Lo,2164527
দ,Lo,2164516
於,Lo,2163966
छ,Lo,2161827
∑,Sm,2153102
校,Lo,2151381
়,Mn,2148957
ʏ,Ll,2139924
口,Lo,2139679
政,Lo,2136937
被,Lo,2133641
東,Lo,2131920
ビ,Lo,2131306
パ,Lo,2124348
ু,Mn,2113799
将,Lo,2107338
白,Lo,2106870
🔹,So,2102658
林,Lo,2097855
当,Lo,2097252
实,Lo,2093977
格,Lo,2092912
體,Lo,2092771
📌,So,2090352
ᄏ,Lo,2086415
田,Lo,2082993
ն,Ll,2082951
동,Lo,2075985
院,Lo,2071611
🛸,So,2068710
機,Lo,2065694
め,Lo,2052779
☏,So,2051696
Υ,Lu,2046896
✖,So,2046364
进,Lo,2046326
站,Lo,2042246
🚨,So,2041320
ற,Lo,2031977
場,Lo,2030969
流,Lo,2029066
튀,Lo,2024345
電,Lo,2023008
業,Lo,2019378
Ж,Lu,2014552
ổ,Ll,2014206
😅,So,2012334
ం,Mc,2010754
ノ,Lo,2004242
ǐ,Ll,1996146
管,Lo,1992969
ո,Ll,1987610
词,Lo,1985145
ں,Lo,1984570
注,Lo,1980653
😄,So,1977794
📷,So,1975862
문,Lo,1974831
☐,So,1973219
་,Po,1971669
